exception_name,level,prev_name
ZeroDivisionError,5,ArithmeticError
WindowsError,6,OSError
Warning,3,Exception
VMSError,6,OSError
ValueError,4,StandardError
UserWarning,4,Warning
UnicodeWarning,4,Warning
UnicodeTranslateError,6,UnicodeError
UnicodeError,5,ValueError
UnicodeEncodeError,6,UnicodeError
UnicodeDecodeError,6,UnicodeError
UnboundLocalError,5,NameError
TypeError,4,StandardError
TabError,6,IndentationError
SystemExit,2,BaseException
SystemError,4,StandardError
SyntaxWarning,4,Warning
SyntaxError,4,StandardError
StopIteration,3,Exception
StandardError,3,Exception
RuntimeWarning,4,Warning
RuntimeError,4,StandardError
ReferenceError,4,StandardError
PendingDeprecationWarning,4,Warning
OverflowError,5,ArithmeticError
OSError,5,EnvironmentError
NotImplementedError,5,RuntimeError
NameError,4,StandardError
MemoryError,4,StandardError
LookupError,4,StandardError
KeyError,5,LookupError
KeyboardInterrupt,2,BaseException
IOError,5,EnvironmentError
IndexError,5,LookupError
IndentationError,5,SyntaxError
ImportWarning,4,Warning
ImportError,4,StandardError
GeneratorExit,2,BaseException
FutureWarning,4,Warning
FloatingPointError,5,ArithmeticError
Exception,2,BaseException
EOFError,4,StandardError
EnvironmentError,4,StandardError
DeprecationWarning,4,Warning
BytesWarning,4,Warning
BufferError,4,StandardError
BaseException,1,None
AttributeError,4,StandardError
AssertionError,4,StandardError
ArithmeticError,4,StandardError
