exception_name,count,origin
TypeError,317,sys
ValueError,189,sys
NotImplementedError,176,sys
Exception,75,sys
MethodNotDefined,29,usr
ArgumentError,10,usr
KeyError,9,sys
ImportError,8,sys
InconsistencyError,7,usr
IndexError,7,sys
AttributeError,6,sys
SkipTest,5,lib
exc_type,5,lib
InvalidValueError,5,usr
AlreadyThere,5,usr
AssertionError,4,sys
complex_error,4,lib
exc,4,lib
ProtocolError,4,usr
BadOptimization,2,usr
ShapeError,2,usr
BadViewMap,2,usr
e,2,lib
IOError,2,sys
RuntimeError,2,sys
DebugException,2,usr
exception,2,lib
BadCLinkerOutput,2,usr
EnvironmentError,2,sys
BadDestroyMap,1,usr
AliasedMemoryError,1,usr
MercurialRuntimeError,1,usr
IntegerDivisionError,1,usr
StochasticOrder,1,usr
AllocationError,1,usr
E_grad,1,lib
