exception_name,count,origin
ValueError,292,sys
NotImplementedError,115,sys
RuntimeError,98,sys
TypeError,56,sys
TraitError,53,usr
exc,22,lib
excp,11,lib
ParseException,11,usr
ParseFatalException,10,usr
SyntaxError,10,sys
KeyError,8,sys
AttributeError,7,sys
DeprecationWarning,6,sys
SystemExit,6,sys
IOError,5,sys
UnknownType,4,usr
ImportError,3,sys
ConfigObjError,3,usr
maxException,2,lib
TConfigInvalidKeyError,2,usr
UnknownTimeZoneError,2,usr
RepeatSectionError,2,usr
TraitNotificationError,2,usr
NotImplemented,2,lib
error,2,lib
child_exception,1,lib
ConfigspecError,1,usr
SystemError,1,sys
ArgumentError,1,lib
TConfigError,1,usr
AmbiguousTimeError,1,usr
StopIteration,1,sys
RecursiveGrammarException,1,usr
value,1,lib
IndexError,1,sys
AssertionError,1,sys
MissingInterpolationOption,1,usr
CalledProcessError,1,usr
baseErrorClass,1,lib
InterpolationLoopError,1,usr
OSError,1,sys
WindowsError,1,sys
