exception_name,count,origin
ValueError,143,sys
TypeError,57,sys
ConnectException,36,lib
NarError,27,lib
GAError,13,lib
_QuadMeshSpecError,11,lib
_SliceError,8,lib
_RangeError_,8,lib
_Getc3Error,7,lib
_Slice3MeshError,7,lib
GraphicsError,7,lib
_GistError,7,lib
IndexError,7,sys
NotImplemented,6,lib
_PlotfError_,6,lib
_ContourError,6,lib
_PsError_,5,lib
_PlotcError_,5,lib
_MeshDefError_,4,lib
_CurveSpecError,4,lib
_NotASurface,4,lib
_MeshInitError,4,lib
_Getv3Error,4,lib
_AxisSpecError,4,lib
_PlotvError_,4,lib
_CellArraySpecError,4,lib
_WinSpecError_,3,lib
_Xyz_wfError,3,lib
_PolyMapSpecError,3,lib
ReplaceError,3,lib
SizeMismatch,3,lib
_Pl3treeError,3,lib
_PlotzError_,3,lib
_Mesh3Error,3,lib
_SurfaceSpecError,3,lib
_AnimationError,3,lib
_CgmError_,3,lib
_Slice3Error,3,lib
_GraphInitError,3,lib
UnpackError,2,lib
_DifError,2,lib
DeleteError,2,lib
_ZcenError,2,lib
_LineSpecError,2,lib
_NotA2dObject,2,lib
PlottersNotStarted,2,lib
LinAlgError,2,lib
_GraphSpecError,2,lib
IOError,2,sys
_xyz3Error,2,lib
_Pl3surfError,2,lib
PackError,2,lib
SymbolError,2,lib
ChangeError,2,lib
RemoteCrashError,1,lib
SyntaxError,1,sys
ValueErrro,1,lib
_FillError_,1,lib
_LightwfError,1,lib
_UndoError_,1,lib
_Get3Error,1,lib
_LightingError,1,lib
GaError,1,lib
_CurveChangeError,1,lib
_PlotiError_,1,lib
NoneError,1,lib
_LinkError,1,lib
NotImplementedError,1,sys
ParentError,1,lib
error,1,lib
_DiffuseError,1,lib
_ZcError,1,lib
_QuadMeshError_,1,lib
RunTimeError,1,lib
_SetMeshError_,1,lib
KeyError,1,sys
_SurfaceChangeError,1,lib
_DisplayError,1,lib
_RegionSpecError,1,lib
EzcShowErr,1,lib
NodeError,1,lib
TimeoutError,1,lib
_AmbientError,1,lib
_UndoError,1,lib
EzcResetErr,1,lib
_BadZScale,1,lib
RemoteError,1,lib
DepthError,1,lib
ClusterError,1,lib
_BadWindow,1,lib
AddError,1,lib
