exception_name,count,origin
NotImplementedError,105,sys
ValueError,86,sys
TypeError,40,sys
ImageException,23,usr
ArgumentIndexError,19,lib
PolynomialException,11,usr
Exception,10,sys
ImportError,10,sys
ImageDecodeException,7,usr
FontException,7,usr
MediaException,7,usr
RuntimeError,7,sys
DDSException,7,usr
Error,7,usr
IndexError,6,sys
AttributeError,5,sys
GLException,4,usr
ContextException,4,usr
GLXInfoException,3,usr
WindowException,3,usr
IntegralError,3,usr
XlibException,3,usr
InvalidMediumException,3,usr
CarbonException,3,usr
ZeroDivisionError,2,sys
first_exception,2,lib
Win32Exception,2,usr
f_error,2,lib
v_error,2,lib
ImageEncodeException,2,usr
AssertionError,2,sys
EventException,2,usr
StopIteration,2,sys
MissingFunctionException,1,usr
NoSuchConfigException,1,usr
NoMatchError,1,usr
MouseCursorException,1,usr
NotImplentedError,1,lib
e,1,lib
NonSquareMatrixException,1,usr
NoSuchDisplayException,1,usr
