exception_name,count,origin
ValueError,77,sys
TypeError,14,sys
InvalidGitRepositoryError,13,usr
NotImplementedError,6,sys
IOError,6,sys
AssertionError,5,sys
IndexError,5,sys
ImportError,4,sys
GitCommandError,4,usr
SkipTest,3,lib
fmt_exc,3,lib
OSError,3,sys
KeyError,3,sys
exc,3,lib
e,2,lib
HookExecutionError,2,usr
BadName,2,lib
AttributeError,2,sys
BadObject,2,lib
StopIteration,2,sys
GitCommandNotFound,2,usr
UnicodeEncodeError,2,sys
ex,2,lib
NotASurrogateError,2,usr
RepositoryDirtyError,1,usr
NoSuchPathError,1,usr
UnmergedEntriesError,1,usr
fmakeexc,1,lib
WorkTreeRepositoryUnsupported,1,usr
CheckoutError,1,usr
MissingSectionHeaderError,1,lib
CommandError,1,usr
