exception_name,count,origin
TypeError,550,sys
ValueError,496,sys
NotImplementedError,307,sys
Exception,82,sys
MethodNotDefined,60,usr
RuntimeError,37,sys
AssertionError,25,sys
IndexError,17,sys
ImportError,15,sys
NotThisMethod,14,usr
AttributeError,13,sys
InconsistencyError,11,usr
KeyError,8,sys
LinAlgError,7,lib
InvalidValueError,6,usr
NotScalarConstantError,6,usr
complex_error,5,lib
AlreadyThere,5,usr
MissingInputError,4,usr
ProtocolError,4,usr
AsTensorError,3,usr
BadOptimization,3,usr
ShapeError,3,usr
exc,3,lib
MissingGXX,3,usr
SupportCodeError,2,usr
IOError,2,sys
ContextNotDefined,2,usr
SkipTest,2,lib
UnusedInputError,2,usr
DisconnectedInputError,2,usr
BadViewMap,2,usr
BadThunkOutput,2,usr
e,2,lib
PicklingError,2,lib
ComplexError,1,usr
BadDestroyMap,1,usr
NullTypeGradError,1,usr
VersioneerBadRootError,1,usr
IntegerDivisionError,1,usr
EmptyConstantError,1,usr
MercurialRuntimeError,1,usr
AdvancedBooleanIndexingError,1,usr
CachedConstantError,1,usr
SyntaxError,1,sys
ReplacementDidntRemovedError,1,usr
ZeroDivisionError,1,sys
StochasticOrder,1,usr
E_grad,1,lib
AliasedMemoryError,1,usr
LocalMetaOptimizerSkipAssertionError,1,usr
AdvancedIndexingError,1,usr
