exception_name,count,origin
InvalidVersion,43,usr
host_config_type_error,25,lib
host_config_version_error,24,lib
DockerException,20,usr
TypeError,20,sys
InvalidArgument,19,usr
ValueError,14,sys
NotImplementedError,10,sys
DeprecatedMethod,4,usr
TLSParameterError,4,usr
RuntimeError,3,sys
e,2,lib
BuildError,2,usr
InvalidConfigFile,2,usr
InvalidRepository,2,usr
create_unexpected_kwargs_error,2,lib
host_config_value_error,2,lib
StopIteration,2,sys
IOError,1,sys
SocketError,1,usr
Exception,1,sys
DockerError,1,lib
cls,1,lib
create_api_error_from_http_exception,1,lib
EmptyPoolError,1,lib
NullResource,1,usr
StreamParseError,1,usr
ContainerError,1,usr
ImageLoadError,1,usr
AttributeError,1,sys
ClosedPoolError,1,lib
