exception_name,count,origin
InvalidArgument,97,usr
ValueError,12,sys
NotImplementedError,11,sys
TypeError,9,sys
AttributeError,8,sys
ResolutionFailed,8,usr
AssertionError,5,sys
InvalidDefinition,4,usr
DidNotReproduce,3,usr
UnsatisfiedAssumption,3,usr
IndexError,3,sys
Flaky,3,usr
StopTest,3,usr
Timeout,2,usr
Unsatisfiable,2,usr
NoExamples,1,usr
Frozen,1,usr
Exception,1,sys
LimitReached,1,usr
OverflowError,1,sys
RunIsComplete,1,usr
exc,1,lib
CleanupFailed,1,usr
FailedHealthCheck,1,usr
NoSuchExample,1,usr
MultipleFailures,1,usr
InvalidState,1,usr
ImportError,1,sys
DeadlineExceeded,1,usr
e,1,lib
