exception_name,count,origin
ValueError,622,sys
RuntimeError,99,sys
NotImplementedError,74,sys
TypeError,60,sys
CheckFailed,39,usr
ImportError,21,sys
AttributeError,15,sys
NotThisMethod,14,usr
Exception,9,sys
ParseFatalException,8,lib
IOError,6,sys
KeyError,6,sys
AssertionError,6,sys
OSError,4,sys
PlotError,3,usr
TerminateTrajectory,2,usr
LatexError,2,usr
OverflowError,2,sys
InvalidIndexError,2,usr
SystemExit,2,sys
TimeoutError,1,lib
_NotIPython,1,usr
error_class,1,lib
NonIntersectingPathException,1,usr
NonGuiException,1,usr
IndexError,1,sys
VersioneerBadRootError,1,usr
ReferenceError,1,sys
