exception_name,count,origin
NotImplementedError,98,sys
ValueError,51,sys
Exception,39,sys
ResourceNotFoundException,36,usr
IAMNotFoundException,32,usr
RESTError,31,usr
ClientException,29,usr
LoadBalancerNotFoundError,21,usr
InvalidParameterValueException,21,usr
UnformattedGetAttTemplateException,20,usr
JsonRESTError,20,usr
RDSClientError,18,usr
JSONResponseError,14,lib
TargetGroupNotFoundError,12,usr
InvalidRequestException,11,usr
TypeError,11,sys
InvalidArgumentError,8,usr
SNSNotFoundError,7,usr
MalformedXML,7,usr
ValidationError,7,usr
BadSegmentException,7,usr
SWFUnknownResourceFault,7,usr
AWSValidationException,7,usr
ValidationException,7,usr
InvalidParameterValueError,6,usr
InvalidConditionValueError,6,usr
DependencyViolationError,5,usr
SWFSerializationException,5,usr
RuntimeError,5,sys
SWFValidationException,5,usr
DuplicateListenerError,5,usr
KeyError,4,sys
UnmockedError,4,usr
InvalidVPCIdError,4,usr
MessageAttributesInvalid,4,usr
ClusterNotFoundError,4,usr
InvalidSecurityGroupNotFoundError,4,usr
RepositoryNotFoundException,4,usr
MessageRejectedError,4,usr
DBParameterGroupNotFoundError,4,usr
InvalidTargetGroupNameError,4,usr
InvalidAMIAttributeItemValueError,4,usr
ListenerNotFoundError,4,usr
IAMConflictException,4,usr
RuleNotFoundError,3,usr
MalformedACLError,3,usr
ResourceNotFoundFaultError,3,usr
InvalidVpnConnectionIdError,3,usr
DBInstanceNotFoundError,3,usr
InvalidSubnetIdError,3,usr
InvalidDHCPOptionsIdError,3,usr
Abort,3,lib
InvalidNetworkInterfaceIdError,3,usr
DBSnapshotNotFoundError,3,usr
TooManyTagsError,3,usr
SubnetNotFoundError,3,usr
InvalidInstanceIdError,3,usr
_arn_not_found,3,lib
SWFDomainDeprecatedFault,3,usr
InvalidAssociationIdError,3,usr
StreamNotFoundError,3,usr
InvalidSnapshotIdError,3,usr
FilterNotImplementedError,3,usr
InvalidVolumeIdError,3,usr
InvalidRouteTableIdError,3,usr
ResourceNotFoundError,3,usr
InvalidSecurityGroupError,2,usr
InvalidCIDRSubnetError,2,usr
InvalidAllocationIdError,2,usr
InvalidAddressError,2,usr
PriorityInUseError,2,usr
InvalidDescribeRulesRequest,2,usr
InvalidDBInstanceStateError,2,usr
InvalidVPCPeeringConnectionIdError,2,usr
ResourceAlreadyAssociatedError,2,usr
DuplicateLoadBalancerName,2,usr
InvalidTargetBucketForLogging,2,usr
ClusterParameterGroupNotFoundError,2,usr
SWFTypeDeprecatedFault,2,usr
InvalidKeyPairDuplicateError,2,usr
InvalidAMIIdError,2,usr
InvalidConditionFieldError,2,usr
InvalidPermissionNotFoundError,2,usr
DBSecurityGroupNotFoundError,2,usr
ClusterSnapshotNotFoundError,2,usr
MissingParameterError,2,usr
ResourceAlreadyExistsException,2,usr
SWFWorkflowExecutionClosedError,2,usr
TagLimitExceeded,2,usr
DBSubnetGroupNotFoundError,2,usr
EmrError,2,usr
ClusterSecurityGroupNotFoundError,2,usr
InvalidActionTypeError,2,usr
InvalidCustomerGatewayIdError,2,usr
SnapshotCopyGrantNotFoundFaultError,2,usr
InvalidTargetError,2,usr
EC2ClientError,2,usr
NotImplemented,2,lib
ResourceInUseError,2,usr
exception_type,2,lib
MissingKey,2,usr
InvalidVPCPeeringConnectionStateTransitionError,2,usr
ActionTargetGroupNotFoundError,2,usr
ClusterSubnetGroupNotFoundError,2,usr
InvalidVpnGatewayIdError,2,usr
InvalidNetworkAclIdError,2,usr
DuplicateTagKeysError,2,usr
last_exception,2,lib
SWFDecisionValidationException,1,usr
RulesPerSecurityGroupLimitExceededError,1,usr
RecursionStopIteration,1,usr
AlreadyExistsException,1,lib
MalformedDHCPOptionsIdError,1,usr
BucketAlreadyExists,1,usr
StageNotFoundException,1,usr
IAMReportNotPresentException,1,usr
AutoscalingClientError,1,usr
