exception_name,count,origin
ValueError,845,sys
TypeError,380,sys
NotImplementedError,164,sys
AssertionError,81,sys
KeyError,70,sys
AbstractMethodError,53,usr
ImportError,38,sys
Exception,28,sys
MergeError,27,usr
IndexError,25,sys
NotThisMethod,14,usr
IncompatibleFrequency,12,lib
IndexingError,11,usr
OptionError,11,usr
AttributeError,11,sys
e,9,lib
StopIteration,8,sys
UnsupportedFunctionCall,8,usr
InvalidIndexError,7,usr
SyntaxError,5,sys
e1,5,lib
ApplyTypeError,4,lib
EmptyDataError,4,usr
SpecificationError,4,usr
NullFrequencyError,3,usr
DataError,3,usr
OverflowError,3,sys
UndefinedVariableError,2,usr
ParserError,2,usr
PyperclipWindowsException,2,usr
OutOfBoundsDatetime,2,lib
GroupByError,2,usr
IOError,2,sys
RuntimeError,2,sys
_exception,2,lib
err,2,lib
UnsortedIndexError,2,usr
SettingWithCopyError,1,usr
NameError,1,sys
with_traceback,1,lib
PossibleDataLossError,1,usr
errors,1,lib
XMLSyntaxError,1,lib
NumExprClobberingError,1,usr
FileNotFoundError,1,lib
ParseError,1,usr
PyperclipException,1,usr
type,1,lib
error,1,lib
SystemExit,1,sys
VersioneerBadRootError,1,usr
CalledProcessError,1,lib
ClosedFileError,1,usr
