exception_name,count,origin
ValueError,37,sys
TypeError,30,sys
NotImplementedError,12,sys
ChannelClosed,10,usr
ConnectionClosed,5,usr
Exception,4,sys
DuplicateConsumerTag,2,usr
AMQPConnectionError,2,usr
UnexpectedFrameError,2,usr
InvalidFrameError,2,usr
ChannelAlreadyClosing,1,usr
InvalidFieldTypeException,1,usr
DuplicateGetOkCallback,1,usr
NackError,1,usr
ShortStringTooLong,1,usr
MethodNotImplemented,1,usr
UnsupportedAMQPFieldException,1,usr
BodyTooLongError,1,usr
RecursionError,1,usr
InvalidChannelNumber,1,usr
UnroutableError,1,usr
ProtocolVersionMismatch,1,usr
NoFreeChannels,1,usr
AuthenticationError,1,usr
maybe_exception,1,lib
RuntimeError,1,sys
exception_or_message,1,lib
