exception_name,count,origin
ValueError,8,sys
NotImplementedError,5,sys
InvalidURL,5,usr
ConnectionError,4,usr
IOError,3,sys
TypeError,3,sys
InvalidSchema,2,usr
SSLError,2,usr
InvalidHeader,2,usr
UnrewindableBodyError,2,usr
KeyError,2,sys
ProxyError,2,usr
RuntimeError,1,sys
InvalidProxyURL,1,usr
CookieConflictError,1,usr
ConnectTimeout,1,usr
RetryError,1,usr
UnicodeError,1,sys
ReadTimeout,1,usr
ContentDecodingError,1,usr
TooManyRedirects,1,usr
MissingSchema,1,usr
ChunkedEncodingError,1,usr
HTTPError,1,usr
StreamConsumedError,1,usr
