exception_name,count,origin
Scapy_Exception,44,usr
Exception,42,sys
TypeError,33,sys
BER_Decoding_Error,18,usr
CLOSE_NOTIFY,16,lib
action_parameters,14,lib
AttributeError,13,sys
ValueError,12,sys
OSError,11,sys
SSLv2_CLOSE_NOTIFY,10,lib
ASN1_Error,8,usr
CipherError,8,usr
LLDPInvalidLengthField,6,usr
FINAL,6,lib
_INET6_PTON_EXC,6,lib
SSLv2_WAITING_CLIENTDATA,6,lib
GetoptError,6,lib
InvalidEncodingException,5,usr
SystemExit,5,sys
StopIteration,5,sys
RENEW_GTK,4,lib
FieldValueRangeException,4,usr
ImportError,4,sys
WAITING_CLIENT,4,lib
END,4,lib
AEADTagError,4,usr
error,4,lib
WAIT_CLIENTDATA,3,lib
WAITING,3,lib
KeyError,3,sys
SEND_FILE,3,lib
SSLv2_WAITING_SERVERFINISHED,3,lib
LLDPInvalidFrameStructure,3,usr
WAITING_ACK,3,lib
HMACError,3,usr
WAITING_CLIENTDATA,3,lib
ADDED_CHANGECIPHERSPEC,3,lib
RuntimeError,3,sys
UnsupportedAlgorithm,2,lib
IPSecIntegrityError,2,usr
LLDPInvalidTLVCount,2,usr
BluetoothSocketError,2,usr
PcapTimeoutElapsed,2,usr
WAIT_DATA,2,lib
SSLv2_ADDED_SERVERVERIFY,2,lib
KRACK_DISPATCHER,2,lib
SSLv2_RECEIVED_CLIENTFINISHED,2,lib
WAIT_RRQ,2,lib
CLOSED,2,lib
INIT_TLS_SESSION,2,lib
SSLv2_RECEIVED_SERVERVERIFY,2,lib
SSLv2_HANDLED_CLIENTFINISHED,2,lib
ERROR,2,lib
LLDPMissingLowerLayer,2,usr
value,2,lib
WAIT_ARP_REPLIES,2,lib
SENT_SERVERDATA,1,lib
RECEIVING,1,lib
BER_BadTag_Decoding_Error,1,usr
RECEIVED_CLIENTFLIGHT1,1,lib
SSLv2_SENT_SERVERDATA,1,lib
SSLv2_WAITING_SERVERVERIFY,1,lib
Stuck,1,lib
WPA_HANDSHAKE_STEP_1_SENT,1,lib
EXIT,1,lib
SSLv2_SENT_CLIENTMASTERKEY,1,lib
SSLv2_ADDED_SERVERHELLO,1,lib
SENT_SERVERFLIGHT2,1,lib
ADDED_SERVERDATA,1,lib
SSLv2_RECEIVED_CLIENTDATA,1,lib
ADDED_CERTIFICATE,1,lib
Singlestep,1,lib
MISSING_SERVERHELLO,1,lib
_BGPInvalidDataException,1,usr
RECEIVED_SERVERFLIGHT2,1,lib
RECEIVED_CLIENTFLIGHT2,1,lib
ADDED_CLIENTKEYEXCHANGE,1,lib
HANDLED_SERVERDATA,1,lib
TLS13_ADDED_CLIENTHELLO,1,lib
SSLv2_SENT_CLIENTCERTIFICATE,1,lib
MISSING_SERVERCERTIFICATE,1,lib
MISSING_CHANGECIPHERSPEC,1,lib
SSLv2_SENT_REQUESTCERTIFICATE,1,lib
SSLv2_WAITING_CLIENTCERTIFICATE,1,lib
SSLv2_RECEIVED_SERVERHELLO,1,lib
SSLv2_ADDED_CLIENTDATA,1,lib
WAITING_SERVERDATA,1,lib
SSLv2_SENT_CLIENTFINISHED,1,lib
RECEIVED_CLIENTDATA,1,lib
SSLv2_MISSING_SERVERHELLO,1,lib
SSLv2_ADDED_REQUESTCERTIFICATE,1,lib
SSLv2_MISSING_CLIENTFINISHED,1,lib
SSLv2_SENT_CLIENTDATA,1,lib
exc_value,1,lib
TLS13_ADDED_CLIENTFINISHED,1,lib
PREPARE_CLIENTFLIGHT2,1,lib
SSLv2_SENT_SERVERHELLO,1,lib
TLS13_WAITING_SERVERHELLO,1,lib
ADDED_CERTIFICATEREQUEST,1,lib
ADDED_SERVERHELLO,1,lib
LLDPInvalidLastLayerException,1,usr
HANDLED_CLIENTCERTIFICATE,1,lib
SSLv2_ADDED_CLIENTCERTIFICATE,1,lib
RECEIVED_ACK,1,lib
BluetoothCommandError,1,usr
MISSING_CERTIFICATEVERIFY,1,lib
CLOSE_NOTIFY_FINAL,1,lib
SSLv2_MISSING_CLIENTMASTERKEY,1,lib
CalledProcessError,1,lib
_NTPInvalidDataException,1,usr
HANDLED_CLIENTDATA,1,lib
RECEIVED_SERVERDATA,1,lib
DADict_Exception,1,usr
HANDLED_CERTIFICATEVERIFY,1,lib
ICVError,1,usr
TLS13_SENT_CLIENTFLIGHT2,1,lib
ErrorLength,1,usr
WAITING_CLIENTFLIGHT2,1,lib
WAITING_CLIENTFLIGHT1,1,lib
SEND_DATA,1,lib
SSLv2_WAITING_CLIENTMASTERKEY,1,lib
SSLv2_ADDED_SERVERFINISHED,1,lib
PREPARE_SERVERFLIGHT2,1,lib
PREPARE_SERVERFLIGHT1,1,lib
MICError,1,usr
SSLv2_ADDED_SERVERDATA,1,lib
WAIT_GTK_ACCEPT,1,lib
ErrorState,1,lib
MISSING_CLIENTCERTIFICATE,1,lib
SSLv2_ADDED_CLIENTMASTERKEY,1,lib
TLS13_SENT_CLIENTHELLO,1,lib
ADDED_CLIENTFINISHED,1,lib
SSLv2_WAITING_SERVERHELLO,1,lib
SSLv2_ADDED_CLIENTFINISHED,1,lib
TLS13_START,1,lib
MISSING_SERVERKEYEXCHANGE,1,lib
SSLv2_HANDLED_SERVERDATA,1,lib
WAITING_SERVERFLIGHT2,1,lib
SSLv2_MISSING_CLIENTCERTIFICATE,1,lib
ADDED_SERVERFINISHED,1,lib
ADDED_CLIENTCERTIFICATE,1,lib
with_traceback,1,lib
ADDED_SERVERKEYEXCHANGE,1,lib
HANDLED_SERVERCERTIFICATE,1,lib
BIND,1,lib
WAITING_SERVERFLIGHT1,1,lib
RECEIVED_RRQ,1,lib
