exception_name,count,origin
ValueError,889,sys
TypeError,65,sys
exc,29,lib
NotImplementedError,27,sys
AttributeError,21,sys
SkipTest,17,lib
NotFittedError,14,usr
ParseException,13,usr
RuntimeError,13,sys
ImportError,12,sys
AssertionError,12,sys
Exception,12,sys
IOError,9,sys
e,6,lib
UnsupportedOperation,4,lib
SyntaxError,4,sys
IndexError,3,sys
ParseFatalException,2,usr
new_exc,2,lib
maxException,2,lib
value,2,lib
FallbackToBackend,2,usr
KeyError,2,sys
ZeroDivisionError,1,sys
_LineSearchError,1,usr
WorkerInterrupt,1,usr
LinAlgError,1,lib
with_traceback,1,lib
RecursiveGrammarException,1,usr
FloatingPointError,1,sys
HTTPError,1,lib
FileNotFoundError,1,lib
WinError,1,lib
ve,1,lib
exception,1,lib
TransportableException,1,usr
EOFError,1,sys
