exception_name,count,origin
ValueError,1692,sys
TypeError,176,sys
RuntimeError,125,sys
NotImplementedError,91,sys
LinAlgError,37,lib
Exception,37,sys
IndexError,33,sys
AttributeError,22,sys
_RETCODE_ERROR,18,lib
SyntaxError,10,sys
OdrError,9,usr
ImportError,6,sys
ArpackError,5,usr
FitDataError,5,usr
NotFoundError,4,lib
_TYPE_ERROR,4,lib
AssertionError,4,sys
e,3,lib
KeyError,3,sys
IOError,3,sys
OverflowError,3,sys
TimeoutError,2,usr
ParseArffError,2,usr
MatWriteError,2,usr
NameError,2,sys
FitSolverError,2,usr
_NoConvergence,2,usr
with_traceback,1,lib
StopIteration,1,sys
ArpackNoConvergence,1,usr
__class__,1,lib
ReentrancyError,1,usr
ClusterError,1,usr
IntegratorConcurrencyError,1,usr
FloatingPointError,1,sys
FractionalMatrixPowerError,1,usr
_DTYPE_ERROR,1,lib
FitUniformFixedScaleDataError,1,usr
LstsqLapackError,1,usr
OSError,1,sys
value,1,lib
ReferenceError,1,usr
_LineSearchError,1,usr
NoConvergence,1,usr
MatReadError,1,usr
BadFortranFormat,1,usr
SqrtmError,1,usr
