exception_name,count,origin
ValueError,1109,sys
NotImplementedError,536,sys
TypeError,432,sys
ArgumentIndexError,106,usr
OperationNotSupported,75,usr
IndexError,42,sys
DomainError,42,usr
ComputationFailed,41,usr
PolynomialError,38,usr
ShapeError,33,usr
AttributeError,30,sys
ImportError,30,sys
ZeroDivisionError,29,sys
IntegralTransformError,24,usr
NonSquareMatrixError,21,usr
RuntimeError,21,sys
CoercionFailed,18,usr
MultivariatePolynomialError,18,usr
QuantumError,17,usr
OptionError,17,usr
CodeGenError,16,usr
NonElementaryIntegralException,13,usr
ExactQuotientFailed,12,usr
GeometryError,11,usr
GeneratorsError,11,usr
UnificationFailed,10,usr
PolynomialDivisionFailed,8,usr
SympifyError,8,usr
NotAlgebraic,7,usr
TokenError,7,usr
IndexException,6,usr
PoleError,5,usr
StopIteration,5,sys
SystemError,5,sys
NotReversible,5,usr
MatrixError,5,usr
Skipped,5,usr
CodeGenArgumentListError,4,usr
exception,4,lib
PolificationFailed,4,usr
GeneratorsNeeded,4,usr
KeyError,4,sys
ModularGCDFailed,3,usr
e,3,lib
Undecidable,3,usr
ExtraneousFactors,3,usr
SqrtdenestStopIteration,3,usr
HeuristicGCDFailed,3,usr
EvaluationFailed,3,usr
TautologyDetected,3,usr
LookupError,3,sys
f_error,2,lib
new,2,lib
ShortCircuit,2,usr
NotInvertible,2,usr
AssertionError,2,sys
v_error,2,lib
_CoeffExpValueError,2,usr
PrecisionExhausted,2,usr
ViolationOfPauliPrinciple,2,usr
NonCommutativeExpression,1,usr
CodeWrapError,1,usr
MellinTransformStripError,1,usr
InconsistentAssumptions,1,usr
OrderFindingException,1,usr
IOError,1,sys
NameError,1,sys
NotHolonomicError,1,usr
RefinementFailed,1,usr
FlagError,1,usr
AuthenticationFailed,1,usr
SolveFailed,1,usr
IndexConformanceException,1,usr
VectorTypeError,1,usr
XPass,1,usr
Exception,1,sys
ExtensionError,1,lib
IsomorphismFailed,1,usr
SubstitutionOfAmbigousOperatorFailed,1,usr
ReorderError,1,usr
XFail,1,usr
NoConvergence,1,lib
AssignmentError,1,usr
ContractionAppliesOnlyToFermions,1,usr
IndentationError,1,sys
HomomorphismFailed,1,usr
SingularityError,1,usr
NotHyperSeriesError,1,usr
