exception_name;count;libraries
ValueError;7567;25
TypeError;2108;23
NotImplementedError;1582;22
RuntimeError;477;20
Exception;409;17
AttributeError;173;19
ImportError;173;17
IndexError;161;17
KeyError;136;19
AssertionError;188;12
IOError;50;15
e;40;12
StopIteration;34;13
NotThisMethod;70;5
InvalidArgument;116;2
exc;38;5
LinAlgError;45;3
ZeroDivisionError;33;4
OSError;21;6
ArgumentIndexError;106;1
UnsupportedAlgorithm;49;2
InvalidVersion;44;2
SyntaxError;20;4
OperationNotSupported;75;1
ShapeError;36;2
SkipTest;22;3
MethodNotDefined;60;1
OptionError;28;2
AbstractMethodError;53;1
SystemExit;13;4
NotFittedError;25;2
Scapy_Exception;44;1
DomainError;42;1
ComputationFailed;41;1
CheckFailed;39;1
PolynomialError;38;1
ResourceNotFoundException;36;1
ProtocolError;18;2
OverflowError;9;4
IAMNotFoundException;32;1
RESTError;31;1
ValidationError;10;3
ClientException;29;1
AlreadyFinalized;29;1
Return;29;1
MergeError;27;1
with_traceback;5;5
VersioneerBadRootError;5;5
host_config_type_error;25;1
IndexingError;12;2
CalledProcessError;6;4
value;6;4
IntegralTransformError;24;1
host_config_version_error;24;1
LoadBalancerNotFoundError;21;1
NoSuchProcess;21;1
NonSquareMatrixError;21;1
SphinxError;21;1
InvalidParameterValueException;21;1
UnformattedGetAttTemplateException;20;1
HTTPError;5;4
ParseFatalException;10;2
JsonRESTError;20;1
DockerException;20;1
InvalidIndexError;9;2
MultivariatePolynomialError;18;1
BER_Decoding_Error;18;1
AccessDenied;18;1
CoercionFailed;18;1
_RETCODE_ERROR;18;1
RDSClientError;18;1
error;6;3
QuantumError;17;1
CodeGenError;16;1
CLOSE_NOTIFY;16;1
action_parameters;14;1
JSONResponseError;14;1
AdapterMethodNotImplementedError;13;1
ParseException;13;1
InvalidGitRepositoryError;13;1
NonElementaryIntegralException;13;1
NameError;4;3
TargetGroupNotFoundError;12;1
EncodingError;12;1
InvalidToken;12;1
IncompatibleFrequency;12;1
ExactQuotientFailed;12;1
InconsistencyError;11;1
InvalidRequestException;11;1
GeneratorsError;11;1
GeometryError;11;1
ParseError;5;2
exception;5;2
EOFError;5;2
ZombieProcess;10;1
VerificationFailed;10;1
ChannelClosed;10;1
InvalidTransaction;10;1
SSLv2_CLOSE_NOTIFY;10;1
UnificationFailed;10;1
OdrError;9;1
DeserializationError;9;1
UnsupportedFunctionCall;8;1
CompilationError;8;1
err;4;2
ASN1_Error;8;1
PolynomialDivisionFailed;8;1
ResolutionFailed;8;1
SympifyError;8;1
CipherError;8;1
InvalidKey;8;1
InvalidArgumentError;8;1
NotAlgebraic;7;1
SNSNotFoundError;7;1
ValidationException;7;1
SWFUnknownResourceFault;7;1
AWSValidationException;7;1
BadSegmentException;7;1
MalformedXML;7;1
TokenError;7;1
TimeoutError;3;2
DeprecationWarning;6;1
NotScalarConstantError;6;1
InvalidConditionValueError;6;1
NotTrained;6;1
IndexException;6;1
FINAL;6;1
InvalidValueError;6;1
LLDPInvalidLengthField;6;1
_INET6_PTON_EXC;6;1
SettingsFileLoadingException;6;1
ValueOutOfBounds;6;1
InvalidParameterValueError;6;1
GetoptError;6;1
SSLv2_WAITING_CLIENTDATA;6;1
PoleError;5;1
ArpackError;5;1
DependencyViolationError;5;1
SystemError;5;1
ConnectionClosed;5;1
complex_error;5;1
InvalidURL;5;1
InvalidSignature;5;1
InvalidEncodingException;5;1
SWFValidationException;5;1
AlreadyThere;5;1
DuplicateListenerError;5;1
FitDataError;5;1
SWFSerializationException;5;1
Skipped;5;1
NotReversible;5;1
MatrixError;5;1
e1;5;1
_TYPE_ERROR;4;1
EmptyDataError;4;1
TransactionFailed;4;1
ApplyTypeError;4;1
UnsupportedOperation;4;1
ArithmeticError;4;1
DBParameterGroupNotFoundError;4;1
DeprecatedMethod;4;1
WAITING_CLIENT;4;1
mmap_error;4;1
TLSParameterError;4;1
CodeGenArgumentListError;4;1
AEADTagError;4;1
ReferenceError;2;2
FloatingPointError;2;2
FileNotFoundError;2;2
_LineSearchError;2;2
NoConvergence;2;2
END;4;1
ConnectionError;4;1
RepositoryNotFoundException;4;1
SpecificationError;4;1
PolificationFailed;4;1
ClusterNotFoundError;4;1
IAMConflictException;4;1
GeneratorsNeeded;4;1
ListenerNotFoundError;4;1
InvalidTargetGroupNameError;4;1
InvalidSecurityGroupNotFoundError;4;1
MessageRejectedError;4;1
MessageAttributesInvalid;4;1
GitCommandError;4;1
InvalidTag;4;1
MissingInputError;4;1
InvalidDefinition;4;1
NotFoundError;4;1
InvalidAMIAttributeItemValueError;4;1
HTTPStatusException;4;1
INTENT_FORMATTING_ERROR;4;1
FieldValueRangeException;4;1
InvalidVPCIdError;4;1
RENEW_GTK;4;1
UnmockedError;4;1
PlotError;3;1
SubnetNotFoundError;3;1
Error;3;1
Flaky;3;1
RuleNotFoundError;3;1
HMACError;3;1
SqrtdenestStopIteration;3;1
HeuristicGCDFailed;3;1
StopTest;3;1
StreamNotFoundError;3;1
FilterNotImplementedError;3;1
ResourceNotFoundError;3;1
SWFDomainDeprecatedFault;3;1
SEND_FILE;3;1
ExtraneousFactors;3;1
DataError;3;1
SSLv2_WAITING_SERVERFINISHED;3;1
DBSnapshotNotFoundError;3;1
DBInstanceNotFoundError;3;1
TautologyDetected;3;1
MissingGXX;3;1
DidNotReproduce;3;1
InvalidInstanceIdError;3;1
EvaluationFailed;3;1
MessageError;3;1
ModularGCDFailed;3;1
InvalidAssociationIdError;3;1
UnsatisfiedAssumption;3;1
ResourceNotFoundFaultError;3;1
TooManyTagsError;3;1
NullFrequencyError;3;1
InvalidDHCPOptionsIdError;3;1
WAITING;3;1
WAITING_CLIENTDATA;3;1
TimeoutExpired;3;1
Undecidable;3;1
BadOptimization;3;1
WAIT_CLIENTDATA;3;1
WAITING_ACK;3;1
ADDED_CHANGECIPHERSPEC;3;1
InvalidRouteTableIdError;3;1
_arn_not_found;3;1
MalformedACLError;3;1
AsTensorError;3;1
InvalidVolumeIdError;3;1
LookupError;3;1
Abort;3;1
InvalidNetworkInterfaceIdError;3;1
InvalidSnapshotIdError;3;1
fmt_exc;3;1
InvalidVpnConnectionIdError;3;1
InvalidSubnetIdError;3;1
LLDPInvalidFrameStructure;3;1
DisconnectedInputError;2;1
ExtensionNotFound;2;1
InvalidHeader;2;1
DBSubnetGroupNotFoundError;2;1
ClusterSecurityGroupNotFoundError;2;1
InvalidKeyPairDuplicateError;2;1
InvalidAllocationIdError;2;1
InvalidAddressError;2;1
InvalidAdapterTypeException;2;1
InvalidFrameError;2;1
ClusterParameterGroupNotFoundError;2;1
GroupByError;2;1
BadViewMap;2;1
DBSecurityGroupNotFoundError;2;1
FallbackToBackend;2;1
InvalidDescribeRulesRequest;2;1
FitSolverError;2;1
InvalidDBInstanceStateError;2;1
BadObject;2;1
InvalidCustomerGatewayIdError;2;1
InvalidConfigFile;2;1
InvalidConditionFieldError;2;1
BadThunkOutput;2;1
ClusterSnapshotNotFoundError;2;1
InvalidCIDRSubnetError;2;1
DuplicateConsumerTag;2;1
HookExecutionError;2;1
MissingKey;2;1
ClusterSubnetGroupNotFoundError;2;1
INIT_TLS_SESSION;2;1
ActionTargetGroupNotFoundError;2;1
InvalidPermissionNotFoundError;2;1
InvalidUnwrap;2;1
EC2ClientError;2;1
DuplicateTagKeysError;2;1
InvalidSchema;2;1
InvalidSecurityGroupError;2;1
InvalidTargetBucketForLogging;2;1
DuplicateLoadBalancerName;2;1
InvalidRepository;2;1
AMQPConnectionError;2;1
ERROR;2;1
InvalidTargetError;2;1
EmptyDatabaseException;2;1
BadName;2;1
InvalidNetworkAclIdError;2;1
InvalidAMIIdError;2;1
InterfaceNotImplemented;2;1
ContextNotDefined;2;1
BluetoothSocketError;2;1
GitCommandNotFound;2;1
InsufficientStartGas;2;1
BuildError;2;1
InvalidActionTypeError;2;1
CLOSED;2;1
GuiLockError;2;1
IPSecIntegrityError;2;1
