exception_name;count;libraries
ValueError;919;19
NotImplementedError;563;14
TypeError;509;11
Exception;254;12
RuntimeError;134;11
KeyError;47;9
ImportError;30;10
IndexError;26;6
IOError;13;6
AttributeError;19;4
TraitError;53;1
exc;26;2
NotImplemented;10;4
ConnectException;36;1
AssertionError;8;4
MethodNotDefined;29;1
NarError;27;1
DenError;24;1
GmParamError;23;1
ImageException;23;1
SyntaxError;11;2
ArgumentError;11;2
error;5;4
SystemExit;10;2
ArgumentIndexError;19;1
GAError;13;1
e;4;3
AlreadyFinalized;11;1
excp;11;1
_QuadMeshSpecError;11;1
PolynomialException;11;1
ParseException;11;1
ParseFatalException;10;1
InvalidToken;8;1
_RangeError_;8;1
_SliceError;8;1
ImageDecodeException;7;1
DDSException;7;1
MediaException;7;1
_Getc3Error;7;1
_GistError;7;1
InconsistencyError;7;1
GraphicsError;7;1
Error;7;1
_Slice3MeshError;7;1
FontException;7;1
_PlotfError_;6;1
DeprecationWarning;6;1
DataIntegrityException;6;1
_ContourError;6;1
StopIteration;3;2
AlreadyThere;5;1
SkipTest;5;1
exc_type;5;1
_PsError_;5;1
_PlotcError_;5;1
InvalidValueError;5;1
_AxisSpecError;4;1
TimeoutError;2;2
SystemError;2;2
GLException;4;1
HTTPError;4;1
complex_error;4;1
ContextException;4;1
_CurveSpecError;4;1
_Getv3Error;4;1
_NotASurface;4;1
_MeshDefError_;4;1
_PlotvError_;4;1
ProtocolError;4;1
UnknownType;4;1
UnsupportedAlgorithm;4;1
_CellArraySpecError;4;1
_MeshInitError;4;1
_AnimationError;3;1
GmmParamError;3;1
_CgmError_;3;1
WindowException;3;1
_Slice3Error;3;1
_SurfaceSpecError;3;1
_PolyMapSpecError;3;1
UnexpectedFrameError;3;1
GLXInfoException;3;1
_PlotzError_;3;1
InvalidMediumException;3;1
XlibException;3;1
_WinSpecError_;3;1
_Mesh3Error;3;1
CarbonException;3;1
_GraphInitError;3;1
ReplaceError;3;1
UnauthorizedException;3;1
_Pl3treeError;3;1
PlotError;3;1
SizeMismatch;3;1
ConfigObjError;3;1
CookieError;3;1
IntegralError;3;1
_Xyz_wfError;3;1
_GraphSpecError;2;1
EventException;2;1
LinAlgError;2;1
RepeatSectionError;2;1
_Pl3surfError;2;1
EnvironmentError;2;1
NoSuchPathError;2;1
_NotA2dObject;2;1
PackError;2;1
_ZcenError;2;1
_xyz3Error;2;1
_LineSpecError;2;1
LookupError;2;1
PanelError;2;1
InvalidTableError;2;1
DeleteError;2;1
PlottersNotStarted;2;1
DebugException;2;1
OnGmmParamError;2;1
BadOptimization;2;1
ProtocolVersionMismatch;2;1
ChangeError;2;1
ImageEncodeException;2;1
ZeroDivisionError;2;1
SymbolError;2;1
Win32Exception;2;1
ShapeError;2;1
exception;2;1
BadCLinkerOutput;2;1
maxException;2;1
v_error;2;1
UnknownTimeZoneError;2;1
_DifError;2;1
f_error;2;1
TraitNotificationError;2;1
BadViewMap;2;1
UnpackError;2;1
first_exception;2;1
TConfigInvalidKeyError;2;1
ValueErrro;1;1
MercurialRuntimeError;1;1
RemoteCrashError;1;1
Warning;1;1
Unfalsifiable;1;1
UnsatisfiedAssumption;1;1
UnknownConsumerTag;1;1
URLRequired;1;1
LoginError;1;1
MaxRetryError;1;1
ClusterError;1;1
AllocationError;1;1
AlreadyUpdated;1;1
AmbiguousTimeError;1;1
BadDestroyMap;1;1
BodyTooLongError;1;1
CalledProcessError;1;1
ChannelClosed;1;1
Timeout;1;1
ConfigspecError;1;1
TooManyRedirects;1;1
AliasedMemoryError;1;1
TConfigError;1;1
NotImplentedError;1;1
MissingInterpolationOption;1;1
MouseCursorException;1;1
NoFreeChannels;1;1
NoMatchError;1;1
NoSuchConfigException;1;1
NoSuchDisplayException;1;1
NodeError;1;1
NonSquareMatrixException;1;1
NoneError;1;1
NotYetFinalized;1;1
StochasticOrder;1;1
OSError;1;1
ParentError;1;1
ConnectionError;1;1
MissingFunctionException;1;1
RecursiveOperationDetected;1;1
RemoteError;1;1
RunTimeError;1;1
SSLError;1;1
SkipNode;1;1
ConnectionClosed;1;1
InvalidProtocolHeader;1;1
ContentTransmissionForbidden;1;1
_LightingError;1;1
child_exception;1;1
_FillError_;1;1
_LightwfError;1;1
_DisplayError;1;1
_LinkError;1;1
_DiffuseError;1;1
baseErrorClass;1;1
_CurveChangeError;1;1
_PlotiError_;1;1
_ZcError;1;1
_BadZScale;1;1
_SetMeshError_;1;1
_RegionSpecError;1;1
_BadWindow;1;1
_SurfaceChangeError;1;1
_UndoError;1;1
res;1;1
_QuadMeshError_;1;1
_UndoError_;1;1
_Get3Error;1;1
AddError;1;1
DenParam;1;1
RecursiveGrammarException;1;1
DepthError;1;1
DuplicateConsumerTag;1;1
E_grad;1;1
EmptyPoolError;1;1
InvalidTag;1;1
InvalidSignature;1;1
InvalidGitRepositoryError;1;1
InvalidFrameError;1;1
InterpolationLoopError;1;1
WindowsError;1;1
IntegerDivisionError;1;1
HTTPrettyError;1;1
GitCommandError;1;1
GaError;1;1
EzcShowErr;1;1
EzcResetErr;1;1
EventHandlerError;1;1
HostChangedError;1;1
_AmbientError;1;1
value;1;1
